Data Source	World Development Indicators																																																												
Country Name	Country Code	Indicator Name	Indicator Code	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Aruba	ABW	"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"	SL.AGR.EMPL.FE.ZS																																																										
Afghanistan	AFG	"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"	SL.AGR.EMPL.FE.ZS																																80.27799988	83.94300079	87.22100067	89.55200195	88.56900024	88.19300079	88.08100128	87.75299835	87.1780014	86.26200104	85.23200226	83.52999878	83.02899933	80.94100189	81.41100311	80.38200378	78.93299866	76.83300018	78.16400146	75.63400269	73.53299713	72.83799744	72.65899658	72.60700226	72.41000366	72.6210022	73.71399689
Angola	AGO	"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"	SL.AGR.EMPL.FE.ZS																																48.41500092	46.69300079	52.94900131	51.83200073	51.46500015	49.7179985	48.72200012	46.52600098	47.83499908	46.93799973	45.22700119	46.56700134	45.71900177	44.40800095	45.44599915	46.26100159	46.10300064	47.24399948	51.16400146	54.41199875	58	57.71300125	56.40399933	56.09999847	55.99300003	56.24200058	57.59700012
Albania	ALB	"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"	SL.AGR.EMPL.FE.ZS																																73.84600067	78.56199646	80.11599731	79.53600311	79.20600128	76.55699921	73.61699677	75.82800293	75.15399933	73.6190033	73.02300262	71.83200073	70.80599976	69.28700256	67.44799805	65.98100281	61.82500076	60.95600128	57.22100067	54.11000061	54.31200027	58.64199829	53.91600037	50.4640007	47.79700089	47.27199936	46.93999863
Andorra	AND	"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"	SL.AGR.EMPL.FE.ZS																																																										
Arab World	ARB	"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"	SL.AGR.EMPL.FE.ZS																																39.09907119	42.9512272	40.27016387	39.8503713	41.76718312	33.95249154	40.92140065	39.44384923	39.04834289	40.35477236	37.47327931	36.03359704	37.81899032	38.94674911	38.66757808	37.90744424	36.19032416	36.31166493	36.09432501	35.00201969	34.44232377	32.4098226	33.27069502	34.00214798	33.24827372	32.62946472	32.45143963
United Arab Emirates	ARE	"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"	SL.AGR.EMPL.FE.ZS																																0.057999998	0.057999998	0.061999999	0.061000001	0.061999999	0.061000001	0.059	0.059999999	0.066	0.068999998	0.071999997	0.071999997	0.072999999	0.078000002	0.097000003	0.101000004	0.119999997	0.152999997	0.034000002	0.021	0.016000001	0.013	0.011	0.01	0.011	0.013	0.032000002
Argentina	ARG	"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"	SL.AGR.EMPL.FE.ZS																																0.137999997	0.317999989	0.301999986	0.240999997	0.358999997	0.216000006	0.250999987	0.221000001	0.224999994	0.231000006	0.280999988	0.456	0.968999982	0.966000021	0.717999995	0.486999989	0.386999995	0.347000003	0.39199999	0.375999987	0.284000009	0.282000005	0.224000007	0.153999999	0.149000004	0.172000006	0.148000002
Armenia	ARM	"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"	SL.AGR.EMPL.FE.ZS																																40.37599945	37.81399918	50.93399811	53.73699951	54.64699936	52.50899887	49.95600128	53.7820015	51.47499847	51.55099869	52.42300034	52.18600082	50.04499817	48.43700027	47.05599976	45.60300064	43.90299988	45.32300186	45.7480011	47.2840004	45.61899948	44.07500076	44.70800018	40.57899857	40.08800125	38.3429985	38.96500015
American Samoa	ASM	"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"	SL.AGR.EMPL.FE.ZS																																																										
Antigua and Barbuda	ATG	"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"	SL.AGR.EMPL.FE.ZS																																																										
